,Origin,Origin_colours,Pool,Pool_colours,Measurer,Measurer_colours,Species,Species_colours,WingLength,T6Length,T1Length,ForkDepth,BillLength,BillWidth,BillDepth,ArchDepth,SkullLength,TarsusLength,ParaseptalProcessPlacement,EarCovertExtent,CollarExtent,Scapulars,SecondaryExtent,SecondaryShape,EarCovertColour,CollarColour,FlankColour
TP21631,Auckland,1,SPO,4,JHF,4,ND,1,123,41,38,3,12.8,8.4,8.1,5.6,50.2,25.1,60,3,2,4,3,4,2,3,2
TP21632,S.Georgia,8,SAO,2,JHF,4,P.georgicus,2,112,34,37,-3,12.9,8.6,8,5.8,49.7,23.9,50,3,2,2,2,4,4,3,2
TP21633,S.Georgia,8,SAO,2,JHF,4,P.georgicus,2,123,41,39,2,13.3,7.9,7.6,6.9,48.4,24.4,50,3,2,2,2,3,4,3,1
TP21637,Heard,4,SIO,3,JHF,4,P.georgicus,2,112,NA,NA,NA,13.7,8.9,8.6,5.5,49.9,23.7,60,3,4,2,2,4,4,3,2
TP21638,Heard,4,SIO,3,JHF,4,P.georgicus,2,119,36,33,3,12.7,8.8,8.5,5.9,56.5,25.9,50,4,4,2,3,4,3,3,2
TP21639,Crozet,3,SIO,3,JHF,4,P.georgicus,2,117,NA,NA,NA,13.3,9.3,7.7,5.5,49.7,24.7,50,2,2,2,2,4,3,3,2
TP21640,Kerguelen,5,SIO,3,JHF,4,P.georgicus,2,121,NA,NA,NA,13.6,8.7,8,NA,51.4,24.9,70,2,2,3,2,4,3,3,2
TP21641,Kerguelen,5,SIO,3,JHF,4,P.georgicus,2,115,36,33,3,11.9,8.5,7.7,4.6,49.6,23.7,50,3,4,4,2,4,4,3,3
TP21642,Kerguelen,5,SIO,3,JHF,4,P.georgicus,2,118,40,37,3,13.7,7.7,7.5,5.8,51.5,25.3,50,2,2,2,2,4,3,3,2
TP21643,Kerguelen,5,SIO,3,JHF,4,P.georgicus,2,116,40,NA,NA,12.9,8,7.8,5.2,51.2,24.7,60,3,3,3,2,4,3,3,2
TP21644,Kerguelen,5,SIO,3,JHF,4,P.georgicus,2,120,39,37,2,11.7,8.5,7.5,5.1,46.6,23.8,50,3,2,2,2,4,3,3,2
TP21769,S.Atlantic,7,SAO,2,JHF,4,P.georgicus,2,111,30,34,-4,13.7,6.7,6.9,5,52.2,26,NA,3,2,3,3,2,3,3,1
TP23102,Kerguelen,5,SIO,3,JHF,4,P.georgicus,2,119,39,34,5,13.9,8.5,9.5,4.8,52.2,26.1,50,4,4,2,2,4,3,3,2
TP23103,Crozet,3,SIO,3,JHF,4,P.georgicus,2,122,NA,NA,NA,12.7,8.2,8.5,4.6,48.6,25.8,60,4,4,2,3,4,3,3,2
TP24767,Heard,4,SIO,3,JHF,4,P.georgicus,2,109,NA,NA,NA,12.6,8,6.9,5.6,44.8,22.9,50,3,4,1,2,4,4,3,3
TP24768,Heard,4,SIO,3,JHF,4,P.georgicus,2,115,35,31,4,13.3,8,7.4,4.8,49.9,22.5,50,3,4,1,2,4,4,3,3
TP24769,Heard,4,SIO,3,JHF,4,P.georgicus,2,117,35,32,3,11.4,7.9,7,3.8,47.8,24.5,50,4,3,2,2,4,3,3,3
TP24770,Heard,4,SIO,3,JHF,4,P.georgicus,2,118,40,36,4,13.4,8,7.2,4.7,51.1,23.3,50,3,4,1,2,4,3,3,3
TP24771,Heard,4,SIO,3,JHF,4,P.georgicus,2,110,35,33,2,13,7.9,7.2,5,49.9,23.7,NA,3,4,2,2,3,3,3,3
TP24772,Heard,4,SIO,3,JHF,4,P.georgicus,2,112,34,33,1,12.6,7.6,6.7,5.5,48.7,23.5,NA,4,3,1,1,NA,3,3,3
TP24773,Heard,4,SIO,3,JHF,4,P.georgicus,2,113,35,33,2,13.5,8.3,7.5,5.9,50.6,22,NA,3,4,2,2,4,3,3,3
TP24774,Heard,4,SIO,3,JHF,4,P.georgicus,2,115,32,32,0,12.9,8.4,7.5,5.9,49.8,23.6,NA,3,4,2,2,4,4,3,3
TP27537,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,42,36,6,13.2,8,9.4,5.8,53.8,23.9,70,3,3,4,3,4,3,3,2
TP27538,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,40,36,4,12.9,9.2,9.4,5.5,53.2,26,60,4,2,4,4,4,2,3,1
TP27539,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,125,42,38,4,12.7,8.9,9.3,5.4,52.5,25.8,50,4,2,4,4,4,3,3,1
TP27540,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,122,43,36,7,15.2,9.2,9.4,4.3,52.9,24.9,50,3,2,4,2,4,3,3,1
TP27541,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,124,45,39,6,14.3,9.1,8.6,5.7,51.9,25,60,4,3,4,3,4,3,3,2
TR1842.12.16.41,Auckland,1,SPO,4,HG,3,ND,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,3,2,3,3,4,3,3,1
TR1938.12.19.102,S.Georgia,8,SAO,2,HG,3,P.georgicus,2,118,39,36,3,14.2,7.4,7,5.8,49.7,25.4,50,4,2,2,3,3,2,2,NA
TR1940.12.7.45,S.Georgia,8,SAO,2,HG,3,P.georgicus,2,121,41,39,2,15.8,9.1,NA,6.2,NA,27.2,50,2,3,2,2,4,2,2,NA
