,Origin,Origin_colours,Pool,Pool_colours,Measurer,Measurer_colours,Species,Species_colours,WingLength,T6Length,T1Length,ForkDepth,BillLength,BillWidth,BillDepth,ArchDepth,SkullLength,TarsusLength,ParaseptalProcessPlacement,EarCovertExtent,CollarExtent,Scapulars,SecondaryExtent,SecondaryShape,EarCovertColour,CollarColour,FlankColour
D-209707,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,114,48,47,1,14.7,8.5,10.2,NA,50.7,25.6,NA,4,1,3,3,4,2,1,2
D-209708,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,117,45,40,5,15.6,8.6,9.4,NA,51,25.6,NA,4,NA,3,3,4,3,NA,NA
D-209710,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,121,44,39,5,16.9,10,10.9,NA,49.9,26.5,50,4,2,3,4,4,2,2,2
D-209711,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,48,47,1,16,9.2,9.9,4.4,53.6,26.5,50,3,2,3,3,4,3,3,3
D-209712,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,116,43,36,7,15.2,8.3,10.4,NA,53.5,25.5,50,4,3,2,3,4,3,2,2
D-209713,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,40,35,5,15.6,8.5,9.9,NA,52.2,25.5,50,4,1,3,4,4,3,1,NA
D-209714,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,119,45,35,10,16.5,8.4,10.7,5.2,52.9,26,50,4,2,4,3,4,2,2,2
D-209715,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,39,36,3,13.5,8.4,10.3,NA,50.4,25.6,60,4,1,2,4,4,3,1,1
D-209719,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,114,39,37,2,13.7,8.6,10.4,NA,51.2,26.1,60,4,1,4,3,4,3,1,NA
D-209720,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,120,40,36,4,14,8.5,11.8,NA,51.7,25.1,50,4,2,3,3,4,3,2,2
D-209722,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,123,45,40,5,14.9,8.4,9.4,NA,49.6,27.9,60,4,2,4,3,4,2,3,1
D-209723,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,129,43,38,5,15.6,8.8,9.4,NA,52.1,28.1,50,4,1,4,4,4,2,1,2
D-209724,Codfish,2,SPO,4,JHF,4,P.whenuahouensis,3,125,41,36,5,13.8,8.3,10.9,4,52.8,26.6,50,4,1,2,4,4,2,1,2
